 , Iterative, , , ,Recursive, , , ,
n, Ave. Count, Std. Dev. Count, Ave. Time, Std. Dev Time, Ave. Count, Std. Dev. Count, Ave. Time, Std. Dev Time
5,9.0200000E00,2.9630390E00,1.1201800E-06,2.5671484E-07,1.1320000E01,2.1581474E00,1.5811400E-06,1.2715405E-06
10,2.9500000E01,6.4257295E00,3.1329800E-06,1.5008852E-06,3.2940000E01,5.3755372E00,3.1329400E-06,5.4679204E-07
20,1.1534000E02,1.7661948E01,1.0834160E-05,1.6419190E-06,1.2002000E02,1.5971838E01,9.0838400E-06,9.5875314E-07
30,2.4358000E02,2.4039210E01,1.8301840E-05,1.1294521E-05,2.5000000E02,2.3778982E01,4.2321040E-05,1.2018346E-05
40,4.1048000E02,3.8132002E01,3.4948200E-06,3.5726230E-07,4.1880000E02,3.6838567E01,1.6936700E-05,2.4162635E-05
50,6.3000000E02,6.7924370E01,5.3441200E-06,4.8969152E-07,6.3914000E02,6.5255194E01,3.8563600E-06,2.5612378E-07
100,2.5647000E03,1.6396966E02,1.9731180E-05,1.0816072E-06,2.5773800E03,1.6166322E02,1.3062800E-05,5.6964508E-07
500,6.2644800E04,1.9453554E03,3.9751740E-04,1.3795229E-05,6.2673040E04,1.9438376E03,2.2521666E-04,1.1897173E-05
1000,2.5025432E05,5.5817478E03,1.4869566E-03,6.5974865E-05,2.5029712E05,5.5825906E03,7.4622040E-04,4.1331139E-05
2000,1.0019845E06,1.5040415E04,5.9084863E-03,4.2080506E-04,1.0020478E06,1.5041884E04,2.8822990E-03,2.7999031E-04
3000,2.2471672E06,2.6672397E04,1.3105929E-02,2.6536322E-04,2.2472354E06,2.6665597E04,6.4938701E-03,1.3824190E-04
4000,3.9954754E06,4.0896297E04,2.3649137E-02,3.3800237E-04,3.9955602E06,4.0890731E04,1.2363985E-02,1.8765283E-04
5000,6.2437207E06,5.2282298E04,3.7999922E-02,4.1095845E-04,6.2438134E06,5.2290004E04,2.0591848E-02,2.9451478E-04
6000,9.0062858E06,7.8284060E04,5.6814190E-02,5.4098671E-04,9.0063835E06,7.8281323E04,3.1032317E-02,2.8724252E-04
7000,1.2258659E07,9.0251155E04,7.9964021E-02,7.0816973E-04,1.2258768E07,9.0238903E04,4.3773230E-02,5.3005897E-04
8000,1.6009688E07,1.2429709E05,1.0848181E-01,4.6334685E-03,1.6009805E07,1.2428656E05,5.9031678E-02,9.3339347E-04
9000,2.0216532E07,1.4824035E05,1.4062018E-01,1.5791622E-03,2.0216646E07,1.4823682E05,7.6541909E-02,9.2072999E-04
10000,2.4946152E07,1.6833262E05,1.7694709E-01,1.0301659E-03,2.4946287E07,1.6833439E05,9.5789236E-02,8.2770709E-04
15000,5.6230869E07,2.7357364E05,4.3142525E-01,2.4302155E-03,5.6231049E07,2.7356484E05,2.2828991E-01,1.2556968E-03
