 , Iterative, , , ,Recursive, , , ,
n, Ave. Count, Std. Dev. Count, Ave. Time, Std. Dev Time, Ave. Count, Std. Dev. Count, Ave. Time, Std. Dev Time
5,8.4600000E00,2.9066131E00,1.5751400E-06,1.1462491E-06,1.0960000E01,2.0392155E00,1.8026800E-06,4.5839731E-07
10,2.9980000E01,5.3795539E00,4.7724200E-06,1.7489901E-06,3.3480000E01,4.5043979E00,4.6088800E-06,9.6035761E-07
20,1.0858000E02,1.3749313E01,1.2485120E-05,3.6512565E-06,1.1406000E02,1.2453771E01,1.0845660E-05,3.0160782E-06
30,2.4550000E02,2.9931422E01,1.7485100E-05,1.1876889E-05,2.5170000E02,2.8412145E01,4.1031600E-05,1.1234999E-05
40,4.2064000E02,4.5720787E01,3.5471600E-06,3.2662023E-07,4.2850000E02,4.3490344E01,1.8821120E-05,2.3050318E-05
50,6.4344000E02,6.1134004E01,5.5950800E-06,1.3851113E-06,6.5170000E02,5.9016693E01,4.0372200E-06,1.2435318E-06
100,2.5897600E03,1.4060250E02,1.9865440E-05,1.8358887E-06,2.6028000E03,1.4005856E02,1.3482820E-05,1.3723764E-06
500,6.3028800E04,1.9485752E03,4.6721826E-04,1.1577263E-04,6.3053860E04,1.9423601E03,2.5952172E-04,4.0849721E-05
1000,2.4908160E05,5.4759203E03,1.5092548E-03,7.8387250E-05,2.4912198E05,5.4716684E03,8.0374534E-04,5.9989150E-05
2000,9.9902224E05,1.4787632E04,5.8920571E-03,3.1424608E-04,9.9908098E05,1.4788997E04,3.0153532E-03,1.3324211E-04
3000,2.2475261E06,2.9890023E04,1.3086985E-02,3.2592082E-04,2.2475933E06,2.9883348E04,6.9907961E-03,1.2558928E-04
4000,4.0054105E06,4.4095627E04,2.3605743E-02,3.5655879E-04,4.0054966E06,4.4089359E04,1.3252046E-02,2.0213615E-04
5000,6.2381645E06,5.8719303E04,3.7995622E-02,4.9875690E-04,6.2382533E06,5.8721467E04,2.1805584E-02,3.1220750E-04
6000,8.9908465E06,8.2397881E04,5.6666824E-02,5.6377071E-04,8.9909498E06,8.2396249E04,3.2677082E-02,4.1252851E-04
7000,1.2257502E07,1.1665770E05,7.9983670E-02,6.2095448E-04,1.2257605E07,1.1665266E05,4.5821849E-02,3.7065233E-04
8000,1.6006331E07,1.0368361E05,1.0806260E-01,1.2874195E-03,1.6006438E07,1.0369108E05,6.1905524E-02,9.8300629E-04
9000,2.0247368E07,1.4439093E05,1.4001284E-01,1.1248992E-03,2.0247487E07,1.4439527E05,7.9767228E-02,6.4815335E-04
10000,2.4988565E07,1.2298237E05,1.7678506E-01,1.0339368E-03,2.4988695E07,1.2296920E05,1.0006961E-01,7.8757026E-04
15000,5.6177552E07,3.5435400E05,4.3144870E-01,2.2428895E-03,5.6177714E07,3.5433993E05,2.3783871E-01,1.2678983E-03
